condition,label,n,latency_mean_ms,latency_median_ms,latency_p95_ms,generation_mean_ms,retrieval_mean_ms,pm_inference_mean_ms,pre_evidence_mean_ms,mean_input_tokens,mean_output_tokens,mean_retrieval_calls
all_structured_rs,All Structured,1020,2270.885,2199.19,2897.733,994.157,1269.668,0.0,7.06,7488.026,77.926,4.0
best_fixed,Fixed All Structured,1020,2015.312,1975.531,2602.727,743.833,1264.511,0.0,6.969,1651.318,71.644,4.0
full_history_rs,Full History,1020,2402.608,2360.215,3054.886,1115.648,1279.61,0.0,7.35,14076.232,72.08,2.0
no_memory_r0,Context Only,1020,665.0,546.447,1100.077,652.495,0.001,0.0,12.504,393.014,63.269,0.0
no_memory_rs,Strategy Only,1020,1938.706,1906.758,2539.853,660.975,1270.235,0.0,7.496,648.791,63.36,1.0
pm,Learned Selector,1020,1952.542,1969.418,2627.209,723.232,1214.091,8.118,7.101,1291.812,69.489,2.728
session_rag_rs,Session Retrieval,1020,2170.525,2078.988,2978.922,892.336,1271.033,0.0,7.156,3236.692,74.843,2.0
strong_rule,Rule Selector,1020,3226.215,3274.733,4075.907,783.766,2435.656,0.0,6.793,1623.973,71.543,3.0
